labels	s11	s12	s21	s22	s31	s32
1	167360844068.366	-988416.912	148.958730716095	370.641796472609	710032.157279308	79033.3086794387
1	167467764951.912	-622403.1261	-177.742	-1462.0275	761757.191823106	39033.8238237878
1	166710488341.926	1480799.29598847	-795.2513	6108.06602398812	-376280.9847	-4199.7405
1	166229249357.189	-1780760.4411	-496.9301	-2367.2079	-264482.6108	-1356.6732
1	165910144283.856	3379972.36007401	5100.61877265631	2216.32703098194	-348380.6766	20372.7522190271
1	166094515815.252	4884265.88164497	358.871471953909	6774.53761903513	-409157.8629	-14671.9762
1	165796290990.839	4063500.29742484	1203.18602567985	5353.12032883862	-339704.5671	-12289.5794
1	165990631135.921	4455019.92991445	8707.54966640601	-146.9566	-384038.9826	2268.99734586217
1	167126233379.325	-2944007.8138	1495.67561673425	-1596.6532	-93897.6396	-35571.8484
1	167353133086.964	-1020533.7655	65.6640588593116	-7.7791	643287.131927482	46273.7799004123
1	167373501063.66	-948397.8111	-48.0763	-674.2326	678833.683587898	40091.4552139057
1	167518436499.881	-446328.9733	-260.1413	-1941.4342	755556.774829136	19326.134369238
1	167632047193.47	-105143.2218	-117.5685	-270.1064	514041.687489352	-86037.2237
1	167601966269.042	-181202.0551	-82.6346	87.165006595173	572028.786538282	-88230.2447
1	165930587086.394	4557760.32562058	7416.50341588824	859.963900156422	-362382.5324	-11974.5695
1	166084598710.162	3140739.76698943	7007.70417504452	139.407642105934	-376064.5958	7765.00917272847
1	165928185728.979	2411151.05135243	4116.43207289329	1600.79579142511	-320299.0605	-5213.28
1	165754614634.774	2792584.81341928	554.583315366938	4198.44193631688	-306723.6696	-3445.5009
1	166082763998.619	4669361.30778328	9516.65227449701	-2780.735	-381256.5999	2429.30682812924
1	166047673543.927	4907368.49781376	5593.17509424322	1597.87706162007	-415949.1625	4371.77046926018
1	166202227445.399	4493901.22219595	10872.6912288771	-4805.3931	-401601.6595	19751.8008666194
1	167350993119.171	-1027205.2212	-5.0129	-420.7386	694946.862350784	38049.4500614094
1	167542402480.603	-368462.0474	-308.0852	-2178.8139	767762.654558521	10373.8479460941
1	167594849980.928	-198566.8145	329.327323963205	1286.59690981702	582996.861347343	-36418.5452
1	167495684079.888	-449730.9827	-83.2577	86.6537184276509	722386.069529427	-78926.914
1	167592217609.077	-309199.7241	-177.9739	269.483306676541	376217.724895733	-109350.2085
1	166077026705.329	4593513.29335641	9762.68350180649	-2474.9932	-382682.7095	10184.0270959893
1	165912674637.665	973926.964376025	-361.2965	3317.30076968106	-310589.7502	-17689.3717
1	166935868739.611	-3742185.0651	2301.40980403479	-1152.1571	-86772.8357	-81525.6859
1	165877849856.1	-19186.0366	699.589068499064	1836.31123649208	-266035.5665	-13296.1388
1	167474175986.509	-551469.551	1939.0944084423	-2545.0222	-232706.726	-24024.6567
1	166072632343.454	3119085.67716571	6657.89970651001	998.84533429417	-343580.5998	-8800.9734
1	165938230428.989	4548155.3941401	8646.89858026104	379.000130115362	-361227.3384	762.593564208462
1	165871572474.043	4565649.07866725	7145.49775300265	1452.61226958637	-378595.7474	9229.3031090635
1	165902588564.192	3815900.30374594	834.64346391618	4758.69225567497	-394565.2564	-28186.6884
1	165906445345.093	1773403.21492065	1241.57100657909	3501.73409358113	-314277.6546	-27030.4996
